"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","sh_mbd","sh_mtw","sh_hwe","sh_hda","sh_hd","sh_tl"
"R27696","Anilios","nema",-13.03,131,"pointy","m","MAGNT","27696","MAGNT_R27696",0.05,211,11,-4.39827161685821,-4.50598986589846,-4.68659615640566,-5.22964050075182,-5.0480566791444,-2.9539628606777
"R07521","Anilios","minimus",-13.883,136.767,"pointy","f","MAGNT","7521","MAGNT_R07521",0.023,175,4,-4.3297052974749,-4.57145912864578,-4.48929372860229,-5.04700293826713,-4.86098451959185,-3.77849161280362
"R09874","Anilios","minimus",-13.97,136.43,"pointy","m","MAGNT","9874","MAGNT_R09874",0.02,211,4.5,-4.28542474317219,-4.52112528996356,-4.61230458010197,-5.07422639687779,-4.97000289100704,-3.84778073669979
"R13936","Anilios","yirrikalae",-13.417,132.1,"pointy","f","MAGNT","13936","MAGNT_R13936",0.029,156,4.5,-3.72810016726722,-3.98687089622458,-4.07529636725141,-4.61160107631838,-4.31030245387544,-3.54577861047326
"R16855","Anilios","yirrikalae",-12.43,130.93,"pointy","m","MAGNT","16855","MAGNT_R16855",0.03,189.5,6,-4.04291935041466,-4.17109454383866,-4.13253150910435,-4.67623833413722,-4.42460919302917,-3.45262955529443
"R14447","Anilios","yirrikalae",-17.317,137.067,"pointy","f","MAGNT","14447","MAGNT_R14447",0.018,192.5,3.5,-3.77395645763823,-4.20927452889608,-4.20404347947852,-4.73241341289543,-4.46484375023074,-4.00733318523247
"R36151","Anilios","tovelli",-11.34,132.59,"pointy","f","MAGNT","36151","MAGNT_R36151",0.03,153,4.5,-3.75089393021943,-4.16123879705213,-4.11614919218895,-4.82749707739575,-4.43435245367562,-3.52636052461616
"R03422","Anilios","tovelli",-12.45,131.05,"pointy","m","MAGNT","3422","MAGNT_R03422",0.039,152,6,-3.61289354713601,-3.92693628927886,-4.10160771729457,-4.75767748007162,-4.3899526999463,-3.23212105161822
"R08365","Anilios","tovelli",-12.45,131.05,"pointy","f","MAGNT","8365","MAGNT_R08365",0.03,101,3.5,-3.5384130635612,-4.01903504912445,-3.89972272734649,-4.6201330586648,-4.27508321405555,-3.36235754834589
"R08718","Anilios","tovelli",-12.45,131.05,"pointy","m","MAGNT","8718","MAGNT_R08718",0.043,115,5,-3.5678167782072,-3.8286413964891,-3.9725117669088,-4.57518935377616,-4.43744742861529,-3.13549421592915
"R12045","Anilios","tovelli",-12.56,131.31,"pointy","f","MAGNT","12045","MAGNT_R12045",0.03,163.5,4.5,-3.80620387935183,-4.2660801468248,-4.02351850965349,-4.63622858300806,-4.51459737048464,-3.59273559356103
"R03279","Anilios","tovelli",-12.7,130.967,"pointy","m","MAGNT","3279","MAGNT_R03279",0.032,124,4,-3.68405241336562,-4.25213087521978,-3.93239030825258,-4.6463282584816,-4.36920594624482,-3.43398720448515
"R36155","Anilios","tovelli",-12.18,136.11,"pointy","m","MAGNT","36155","MAGNT_R36155",0.04,114.5,5,-3.66728034231047,-3.97278409943858,-3.88828942109605,-4.60954656058789,-4.4782105585268,-3.13113691056019
"R04012","Anilios","tovelli",-12.7,130.967,"pointy","f","MAGNT","4012","MAGNT_R04012",0.037,108,4,-3.53950205303934,-3.79629970273477,-3.82559049965584,-4.57777121179998,-4.25034881069868,-3.29583686600433
"R36153","Anilios","tovelli",-11.29,132.22,"pointy","?","MAGNT","36153","MAGNT_R36153",0.04,121,4.5,-3.67086094861126,-3.91202300542815,-3.88150181639326,-4.54114832722316,-4.32578691635101,-3.29171314882047
